Date,ATR5,std5,norm_tr,vol_ratio_5,roc2,roc5,rsi7,MA5,MA10,candle_body_pct,vol_spike_5,return_1d,target
2004-11-24,6.011170959472656,0.010312177137864727,0.009551807676699218,582.9196763310592,0.007170209032660635,0.005625043512672789,60.7761116816333,33.27830810546875,33.119873428344725,17.464141811506092,0.806295208114116,0.008720014362025186,1
2004-11-26,5.997692108154297,0.010242192790846075,0.009281681354333968,585.586722553662,0.005642470337260619,-0.0020361821265975077,64.09060097342903,33.264678955078125,33.19824028015137,19.260333476896573,0.3949982986034391,-0.003050939786012896,1
2004-11-29,6.081320953369141,0.005981985463958716,0.020065384207620905,1016.6057724494515,-0.0033053176124648864,0.013444031405568602,52.66259645552446,33.35326919555664,33.24423713684082,9.05860985219431,1.2741604076005335,-0.00025515629293770825,1
2004-11-30,6.056730651855469,0.004776482138420531,0.009903120970743282,1268.03167610259,-0.002294693411553861,0.0017932976975099102,44.65481256988669,33.36519927978516,33.26894302368164,18.113354988613636,1.1545118402420729,-0.0020400576521640845,1
2004-12-01,6.206800079345703,0.00992762255082349,0.020291663992956663,625.2050828454244,0.018367259273882608,0.02385205735667295,84.83292364128589,33.523633575439455,33.38223152160644,7.631836752746311,1.312149756949491,0.020449034134612187,0
2004-12-02,6.248365783691407,0.009678251274589836,0.018457886711620262,645.6089645137067,0.02428323518970732,0.018814963701627718,82.69364928528981,33.64969940185547,33.46400375366211,9.028858438641,1.3925735861461268,0.003757366538493123,0
2004-12-03,6.344300079345703,0.00907130004357987,0.014919675048756525,699.3815714249055,0.005260963818982223,0.023463642740986224,86.54002394288159,33.80643310546875,33.53555603027344,12.092315977650275,1.0961576994177762,0.0014979688624099374,0
2004-12-06,6.3455665588378904,0.008709225151503502,0.015159402538381151,728.6028835461252,0.004991366813043685,0.027295781740678482,84.56039016422595,33.98871841430664,33.67099380493164,11.188115761288193,0.7088485392697406,0.003488172776427989,1
2004-12-07,6.385281372070312,0.01333402805231067,0.028771091502435057,478.8711518395073,-0.013705616385584762,0.01175811735496568,59.58593227890398,34.067080688476565,33.71613998413086,6.840773949976446,1.144658102579029,-0.0171340227303739,1
2004-12-08,6.310919189453125,0.009414629187682252,0.014154954959819542,670.3311477960381,-0.011422570611632987,-0.002755230113318907,64.18674021180334,34.048342895507815,33.78598823547363,11.853436012365973,0.11548471678500809,0.005811018237305676,1
2004-12-09,6.289656829833983,0.009722115267553552,0.02784707479135024,646.9432481247155,0.011874581213613178,-0.0004988013902063049,70.12975934517382,34.04493789672851,33.84731864929199,5.658141794760639,1.490911439554198,0.006028531072302279,0
2004-12-10,6.189061737060546,0.009749596634520876,0.00970223937603835,634.8018250464465,0.003014040548986685,-0.004984235873999432,50.30675689413109,34.01086273193359,33.90864791870117,17.659010253505496,1.0198509110661669,-0.002996426473215963,0
2004-12-13,6.205136871337889,0.010600183903257301,0.010492370483898493,585.3801149083017,0.005742936419670164,0.0002486624661690584,55.73817028524443,34.012568664550784,34.00064353942871,16.442461747128384,0.871244671429858,0.008765628454040275,0
2004-12-14,6.22143096923828,0.004434580493945122,0.00986049450829677,1402.9356277855106,0.013773821977080214,0.02273819144022693,58.882702900544004,34.165889739990234,34.1164852142334,17.05573943385432,1.1587172420048069,0.004964675026363885,0
2004-12-15,6.208110046386717,0.005622156028425172,0.015427889750595997,1104.2222974600863,0.0012412243470758533,0.013061967314764722,51.51543938694822,34.254476928710936,34.15140991210937,11.578726895836931,0.9873699126941973,-0.003705056278908714,0
2004-12-16,6.1715232849121096,0.00727710489032868,0.0185133245806138,848.0739769347153,-0.013092489555535991,-0.002496928878117477,61.077828253302506,34.237440490722655,34.14118919372559,10.016487941338532,0.9925466749266206,-0.009422343589907012,1
2004-12-17,6.13656005859375,0.007241302887605822,0.011195352066091182,847.4386659197829,-0.011950462766735392,-0.002052446398343455,51.23334698394166,34.22347869873047,34.11717071533203,14.992711940972745,1.0992707218036,-0.002552166567122427,1
2004-12-20,6.036521911621094,0.00545027833819557,0.020171720686543264,1107.562134821102,-0.009374983185093111,-0.01749099017215816,34.93078408673962,34.10345306396484,34.05801086425781,8.616797002098082,1.1138539336052706,-0.006840274136932889,1
2004-12-21,5.980547332763672,0.008435424564588201,0.012601351491090408,708.9800029591788,0.0053205878383064675,-0.010373715054067367,53.353657128340146,34.03191375732422,34.09890174865723,12.248017245968159,0.8871900956016501,0.012244618522636364,1
2004-12-22,5.902086639404297,0.008484701248021302,0.012878134637205899,695.6151391636458,0.013519708272863307,-0.005442224309586519,44.831221899907675,33.99452209472656,34.12449951171875,12.212921460340029,0.8386411558541826,0.0012596656251806504,1
2004-12-23,5.831478118896484,0.007082603609794507,0.010821172024202796,823.3523207245644,0.0020157109413942997,0.004776106151834547,38.462147825636556,34.0270278930664,34.13223419189453,14.6429329951646,0.5602173029346126,0.0007550941500691355,1
2004-12-27,5.840972137451172,0.0073345437864203,0.01821065871830146,796.3647511745129,-0.003523809917245546,0.0030399345282909884,37.90388686213574,34.047664642333984,34.13557167053223,9.57108577546161,0.8887525805939336,-0.004275675529734624,0
2004-12-28,5.86633529663086,0.006815587447631785,0.011346185966425119,860.7233553535049,0.0052818940247423285,0.019642357014945544,63.47110606573434,34.18009567260742,34.141774368286136,13.582759497632928,0.936614014680278,0.009598610096787308,0
2004-12-29,5.823904418945313,0.004984567178963285,0.007554637195190889,1168.387185857248,0.01086147601249432,0.008568252737128912,69.2309601287989,34.23857116699219,34.1352424621582,21.170415364526022,0.7833807897628613,0.0012508594040023802,0
2004-12-30,5.803428649902344,0.005110139908823595,0.005524833687608796,1135.6692289151729,0.0005002993694651625,0.006544298168291052,83.19292333614153,34.28329010009766,34.13890609741211,29.89533599694822,0.7906595222716508,-0.0007496223623556508,0
